,title,article_url,premium_or_not,byline,article_type,image_url,subhed
0,"Anne-Sophie Lapix rejoindra le Groupe M6 à la rentrée, après son éviction du « 20 heures » de France 2",https://www.lemonde.fr/economie/article/2025/06/16/anne-sophie-lapix-rejoindra-le-groupe-m6-a-la-rentree-apres-son-eviction-du-20-heures-de-france-2_6613534_3234.html,,Le Monde avec AFP,"[' ', '  Économie ', ' ']",https://img.lemde.fr/2024/09/04/0/0/6000/4000/180/0/95/0/8f25857_1725467669077-215868.jpg,
1,Nucléaire : « Les ogres des données sont partis à la chasse aux électrons »,https://www.lemonde.fr/economie/article/2025/06/04/nucleaire-les-ogres-des-donnees-sont-partis-a-la-chasse-aux-electrons_6610480_3234.html,Premium,,"[' ', '  Économie ', ' ']",https://img.lemde.fr/2025/06/03/0/1/2997/1998/180/0/95/0/b0d0c7f_ftp-import-images-1-jo7tnuu5jelx-98277219af4f4d83a5240f40f6a9e594-0-eefa06f25fa649c08b5d91a45b637006.jpg,
2,"Empire Trump : « Certaines activités soulèvent la suspicion de conflit d’intérêts, dans la mesure où la Maison Blanche influence la réglementation »",https://www.lemonde.fr/economie/article/2025/06/17/empire-trump-certaines-activites-soulevent-la-suspicion-de-conflit-d-interets-dans-la-mesure-ou-la-maison-blanche-influence-la-reglementation_6613877_3234.html,Premium,,"[' ', '  Économie ', ' ']",https://img.lemde.fr/2025/06/17/0/0/7728/5152/180/0/95/0/3f566e9_upload-1-6umknxhicb5l-000-36mc4wg.jpg,
3,« Une hausse de la TVA peut être utile pour combler les déficits publics et financer notre modèle social »,https://www.lemonde.fr/idees/article/2025/06/17/une-hausse-de-la-tva-peut-etre-utile-pour-combler-les-deficits-publics-et-financer-notre-modele-social_6613879_3232.html,Premium,,"[' ', '  Débats ', ' ']",https://img.lemde.fr/2025/06/13/0/0/3000/2000/180/0/95/0/9c0bb2e_upload-1-t67u3sel9vjj-frame-841.jpg,
4,Israël-Iran : retour en images sur le quatrième jour du conflit,https://www.lemonde.fr/international/video/2025/06/16/israel-iran-retour-en-images-sur-le-quatrieme-jour-du-conflit_6613570_3210.html,,  Par Service vidéo du Monde ,"[' ', '  International ', ' ']",https://img.lemde.fr/2025/06/16/0/0/6000/4000/180/0/95/0/c5a8d0b_ftp-import-images-1-aqsxyjk2kz1y-2025-06-16t032103z-511386028-rc2f3fab4xgo-rtrmadp-3-iran-nuclear-israel-missiles.JPG,
5,Les images des attaques iraniennes contre Israël dans la nuit du 14 au 15 juin,https://www.lemonde.fr/videos/video/2025/06/15/en-images-au-moins-dix-morts-dans-de-nouvelles-attaques-iraniennes-contre-israel_6613363_1669088.html,,  Par Service vidéo du Monde (avec AFP)  ,"[' ', '  Vidéos ', ' ']",https://img.lemde.fr/2025/06/15/0/0/5899/3933/180/0/95/0/f43a9bd_ftp-import-images-1-ahcxbdtucss8-2025-06-15t092846z-777087938-rc2x2faf21fn-rtrmadp-3-iran-nuclear-israel.JPG,
6,Attaque d’Israël contre l’Iran : les images analysées par « Le Monde » montrent les sites stratégiques touchés,https://www.lemonde.fr/international/video/2025/06/13/attaque-d-israel-contre-l-iran-les-images-analysees-par-le-monde-montrent-les-sites-strategiques-touches_6612776_3210.html,,"  Par Juliette Prigent, Liselotte Mas, Thomas Eydoux, Antoine Apelbaum  , Asia Balluffier, Donald Walther et Marceau Bretonnier (motion design) ","[' ', '  International ', ' ']",https://img.lemde.fr/2025/06/13/57/0/1920/1280/180/0/95/0/8e69bbf_upload-1-vdej0rkzik8r-thumbnail-attaques-israel-iran-copie-sirius-copie.jpg,
7,Ukraine : ce que l’on sait de l’attaque de drones inédite lancée contre des bases russes,https://www.lemonde.fr/international/video/2025/06/02/ukraine-ce-que-l-on-sait-de-l-attaque-de-drones-inedite-lancee-contre-des-bases-russes_6610251_3210.html,,  Par Clara De Antoni et Service vidéo du Monde ,"[' ', '  International ', ' ']",https://img.lemde.fr/2025/06/02/320/0/960/640/180/0/95/0/b7cba4d_ftp-import-images-1-1ugaq6pjy6as-5079562-01-06.jpg,
8,"Au PS, le congrès de l’impuissance",https://www.lemonde.fr/idees/article/2025/06/17/au-ps-le-congres-de-l-impuissance_6613836_3232.html,,,"[' ', '  Débats ', ' ']",https://img.lemde.fr/2025/06/17/0/0/6000/4000/180/0/95/0/24a4418_upload-1-p3ald6qxr61q-cbi1262042.JPG,
9,"Arthur Pouliquen, politiste : « Une politique autonome a toujours un sens quand les partis et les syndicats manquent à leur devoir »",https://www.lemonde.fr/idees/article/2025/06/16/arthur-pouliquen-politiste-une-politique-autonome-a-toujours-un-sens-quand-les-partis-et-les-syndicats-manquent-a-leur-devoir_6613539_3232.html,Premium,  Propos recueillis par Abel Mestre ,"[' ', '  Débats ', ' ']",https://img.lemde.fr/2025/06/13/687/0/2949/1966/180/0/95/0/342eb58_upload-1-nfssvlu8nwkp-arthur-pouliquen.jpg,
10,"Faire des grandes familles, avec « plus de bébés », le nouveau ciment des droites aux Etats-Unis",https://www.lemonde.fr/idees/article/2025/06/15/la-relance-des-naissances-nouveau-ciment-des-droites-aux-etats-unis_6613236_3232.html,Premium,,"[' ', '  Débats ', ' ']",https://img.lemde.fr/2025/06/12/576/0/2433/1622/180/0/95/0/9ccdb30_upload-1-t88ukbg4lfim-seto-le-monde-natalisme.jpg,
11,« Une hausse de la TVA peut être utile pour combler les déficits publics et financer notre modèle social »,https://www.lemonde.fr/idees/article/2025/06/17/une-hausse-de-la-tva-peut-etre-utile-pour-combler-les-deficits-publics-et-financer-notre-modele-social_6613879_3232.html,Premium,,"[' ', '  Débats ', ' ']",https://img.lemde.fr/2025/06/13/0/0/3000/2000/180/0/95/0/9c0bb2e_upload-1-t67u3sel9vjj-frame-841.jpg,
12,"Aux cinémas Dulac, un climat délétère",https://www.lemonde.fr/culture/article/2025/06/13/aux-cinemas-dulac-un-climat-deletere_6612778_3246.html,Premium,  Par Clarisse Fabre ,"[' ', '  Culture ', ' ']",https://img.lemde.fr/2025/06/12/0/0/4500/3000/180/0/95/0/c207273_upload-1-yj2lsqh2wgth-000-36ww9nr.jpg,
13,"« Saint Louis après Jacques Le Goff », sous la direction de Marie Dejoux : le saint roi et l’historien",https://www.lemonde.fr/livres/article/2025/06/17/saint-louis-apres-jacques-le-goff-sous-la-direction-de-marie-dejoux-le-saint-roi-et-l-historien_6613662_3260.html,Premium,  Par François Otchakovsky-Laurens (Collaborateur du « Monde des livres ») ,"[' ', '  Le Monde des livres ', ' ']",https://img.lemde.fr/2025/06/11/882/0/1500/1000/180/0/95/0/666fc57_sirius-fs-upload-1-bamnxxjh7dtu-1749632668326-dejoux.jpg,
14,"« Télétravail du sexe », sur Tënk : de l’autre côté de l’écran, la vie réelle des « camgirls »",https://www.lemonde.fr/culture/article/2025/06/13/teletravail-du-sexe-sur-tenk-de-l-autre-cote-de-l-ecran-la-vie-reelle-des-camgirls_6612728_3246.html,Premium,  Par Sandrine Berthaud-Clair ,"[' ', '  Culture ', ' ']",https://img.lemde.fr/2025/06/05/0/81/1017/678/180/0/95/0/7b1e93c_sirius-fs-upload-1-ri1wlsesdh8v-1749140858573-ttds-2.jpg,
15,"A voir ce soir : « Pourquoi pas ! », la petite et indestructible utopie de Coline Serreau",https://www.lemonde.fr/culture/article/2025/06/16/a-voir-ce-soir-pourquoi-pas-la-petite-et-indestructible-utopie-de-coline-serreau_6613580_3246.html,Premium,  Par Thomas Sotinel ,"[' ', '  Culture ', ' ']",https://img.lemde.fr/2025/06/13/0/22/3240/2160/180/0/95/0/a635090_upload-1-pfuadkxprv8o-pourquoipas21.jpeg,
16,"Horlogerie : le Duoplan, calibré pour durer",https://www.lemonde.fr/m-styles/article/2025/06/17/horlogerie-le-duoplan-calibre-pour-durer_6613878_4497319.html,,  Par Maud Gabrielson ,"[' ', '  Le Goût du Monde ', ' ']",https://img.lemde.fr/2025/06/16/98/0/3543/2362/180/0/95/0/2b8ff2f_upload-1-iiq1b7n1x7xy-jl-duoplan-tubogas.jpg,
17,Un jardin dans son assiette : trois recettes fleuries,https://www.lemonde.fr/les-recettes-du-monde/article/2025/06/17/un-jardin-dans-son-assiette-trois-recettes-fleuries_6613618_5324493.html,Premium,  Par Le Goût du Monde ,"[' ', '  Les recettes ', ' ']",https://img.lemde.fr/2025/05/22/1499/0/3600/2400/180/0/95/0/1254f0e_sirius-fs-upload-1-2nyfyhsbxhyx-1747919643574-flower-burger.jpg,
18,"C’est l’histoire d’une rue : Buffon, du jardin botanique au repaire politique",https://www.lemonde.fr/m-styles/article/2025/06/15/c-est-l-histoire-d-une-rue-buffon-du-jardin-botanique-au-repaire-politique_6613362_4497319.html,Premium,,"[' ', '  Le Goût du Monde ', ' ']",https://img.lemde.fr/2025/06/10/0/0/2535/1690/180/0/95/0/2f2ddb5_sirius-fs-upload-1-3kgr7ekhmgjm-1749564545826-ma-rue-aliochaboia-ruebuffon-78.jpg,
19,« La France buissonnière » : les échappées numériques du cartographe à vélo,https://www.lemonde.fr/m-perso/article/2025/06/16/la-france-buissonniere-les-echappees-numeriques-du-cartographe-a-velo_6613492_4497916.html,Premium,  Par Frédéric Potet ,"[' ', ""  L'époque "", ' ']",https://img.lemde.fr/2025/06/11/168/0/4032/2688/180/0/95/0/a1a0215_sirius-fs-upload-1-e3geru5pmiq5-1749612350635-img-9968.jpg,
