title,article_url,premium_or_not,byline,article_type,image_url,subhed
"Luca de Meo, le directeur général de Renault, quitte ses fonctions",https://www.lemonde.fr/economie/article/2025/06/15/luca-de-meo-le-directeur-general-de-renault-quitte-ses-fonctions_6613398_3234.html,,Le Monde avec AFP,"[' ', '  Économie ', ' ']",https://img.lemde.fr/2025/06/11/0/0/4495/2996/180/0/95/0/89daff8_ftp-import-images-1-zsadzj443u5c-2025-06-11t084515z-1472494781-rc280fa9s2ov-rtrmadp-3-france-tech.JPG,
Nucléaire : « Les ogres des données sont partis à la chasse aux électrons »,https://www.lemonde.fr/economie/article/2025/06/04/nucleaire-les-ogres-des-donnees-sont-partis-a-la-chasse-aux-electrons_6610480_3234.html,Premium,,"[' ', '  Économie ', ' ']",https://img.lemde.fr/2025/06/03/0/1/2997/1998/180/0/95/0/b0d0c7f_ftp-import-images-1-jo7tnuu5jelx-98277219af4f4d83a5240f40f6a9e594-0-eefa06f25fa649c08b5d91a45b637006.jpg,
"« Les “golden share”, un atout, alors que les Etats surendettés doivent renforcer leur souveraineté »",https://www.lemonde.fr/economie/article/2025/06/16/les-golden-share-un-atout-alors-que-les-etats-surendettes-doivent-renforcer-leur-souverainete_6613527_3234.html,Premium,,"[' ', '  Économie ', ' ']",https://img.lemde.fr/2025/05/30/0/74/7470/4980/180/0/95/0/cf602ca_ftp-import-images-1-smfqahhltdcc-5058838-01-06.jpg,
"MaPrimeRénov’ : « Le manque, et non les excès, de moyens humains de contrôle est à l’origine de la hausse des délais et des fraudes »",https://www.lemonde.fr/idees/article/2025/06/16/maprimerenov-le-manque-et-non-les-exces-de-moyens-humains-de-controle-est-a-l-origine-de-la-hausse-des-delais-et-des-fraudes_6613519_3232.html,Premium,,"[' ', '  Débats ', ' ']",https://img.lemde.fr/2025/06/13/0/0/3000/2000/180/0/95/0/32b2948_upload-1-o4oxfqczk2zg-frame-962.jpg,
"En Algérie, des femmes exposent leurs harceleurs de rue sur les réseaux sociaux",https://www.lemonde.fr/afrique/video/2025/06/12/en-algerie-des-femmes-exposent-les-harceleurs-de-rue-sur-les-reseaux-sociaux_6612568_3212.html,,  Par Service vidéo du Monde ,"[' ', ' Le Monde Afrique ', ' ']",https://img.lemde.fr/2025/06/12/0/150/1620/1080/180/0/95/0/26bcfd5_upload-1-n3xfwybw3zrb-cover.jpg,
Irlande du Nord : retour en images sur les violents affrontements anti-immigrés qui secouent le pays,https://www.lemonde.fr/international/video/2025/06/12/irlande-du-nord-retour-en-images-sur-les-violents-affrontements-anti-immigres-qui-secouent-le-pays_6612553_3210.html,,  Par Service vidéo du Monde ,"[' ', '  International ', ' ']",https://img.lemde.fr/2025/06/11/0/44/6411/4274/180/0/95/0/0489a16_ftp-import-images-1-a0dcjxlxusw3-2025-06-11t234232z-1622451621-rc2m0fawit1x-rtrmadp-3-nireland-violence.JPG,
Les images du Boeing 787 d’Air India qui s’est écrasé après son décollage à Ahmedabad,https://www.lemonde.fr/international/video/2025/06/12/inde-les-images-de-l-avion-qui-s-est-ecrase-a-ahmedabad_6612518_3210.html,,  Par Service vidéo du Monde ,"[' ', '  International ', ' ']",https://img.lemde.fr/2025/06/12/87/0/2800/1866/180/0/95/0/94c332d_ftp-import-images-1-b2rwvywe4z62-5169719-01-06.jpg,
Ukraine : ce que l’on sait de l’attaque de drones inédite lancée contre des bases russes,https://www.lemonde.fr/international/video/2025/06/02/ukraine-ce-que-l-on-sait-de-l-attaque-de-drones-inedite-lancee-contre-des-bases-russes_6610251_3210.html,,  Par Clara De Antoni et Service vidéo du Monde ,"[' ', '  International ', ' ']",https://img.lemde.fr/2025/06/02/320/0/960/640/180/0/95/0/b7cba4d_ftp-import-images-1-1ugaq6pjy6as-5079562-01-06.jpg,
"Au G7, Donald Trump face aux autres dans le chaos du monde",https://www.lemonde.fr/idees/article/2025/06/16/au-g7-donald-trump-face-aux-autres-dans-le-chaos-du-monde_6613525_3232.html,,,"[' ', '  Débats ', ' ']",https://img.lemde.fr/2025/06/16/4/0/3936/2624/180/0/95/0/e53fb1c_upload-1-xikmts7tvxic-429497.jpg,
"Faire des grandes familles, avec « plus de bébés », le nouveau ciment des droites aux Etats-Unis",https://www.lemonde.fr/idees/article/2025/06/15/la-relance-des-naissances-nouveau-ciment-des-droites-aux-etats-unis_6613236_3232.html,Premium,,"[' ', '  Débats ', ' ']",https://img.lemde.fr/2025/06/12/576/0/2433/1622/180/0/95/0/9ccdb30_upload-1-t88ukbg4lfim-seto-le-monde-natalisme.jpg,
